iter	Passed	Remaining
1109	541261	9219510
1110	541716	9218457
1111	542217	9218185
1112	542674	9217164
1113	543093	9215504
1114	543550	9214498
1115	543950	9212526
1116	544398	9211358
1117	544848	9210234
1118	545301	9209159
1119	545956	9211497
1120	546565	9213049
1121	547011	9211855
1122	547466	9210807
1123	547955	9210342
1124	548448	9209939
1125	548932	9209384
1126	549433	9209115
1127	549914	9208503
1128	550356	9207247
1129	550844	9206759
1130	551346	9206505
1131	551863	9206508
1132	552389	9206658
1133	552876	9206145
1134	553392	9206136
1135	553886	9205740
1136	554350	9204860
1137	554870	9204892
1138	555355	9204360
1139	555855	9204064
1140	556361	9203871
1141	556866	9203666
1142	557376	9203544
1143	557930	9204145
1144	558447	9204136
1145	558942	9203758
1146	559419	9203077
1147	559943	9203188
1148	560476	9203427
1149	561016	9203789
1150	561570	9204388
1151	562087	9204369
1152	562570	9203798
1153	563064	9203394
1154	563564	9203089
1155	564081	9203069
1156	564604	9203155
1157	565118	9203081
1158	565612	9202683
1159	566098	9202152
1160	566586	9201661
1161	567046	9200713
1162	567507	9199768
1163	568011	9199533
1164	568483	9198789
1165	568948	9197912
1166	569383	9196576
1167	569861	9195914
1168	570337	9195235
1169	570806	9194427
1170	571260	9193388
1171	571689	9191944
1172	572137	9190806
1173	572620	9190239
1174	573062	9189015
1175	573495	9187642
1176	573915	9186064
1177	574383	9185263
1178	574866	9184683
1179	575306	9183427
1180	575751	9182253
1181	576233	9181671
1182	576720	9181175
1183	577166	9180014
1184	577642	9179341
1185	578088	9178194
1186	578566	9177550
1187	578993	9176099
1188	579404	9174385
1189	579847	9173194
1190	580311	9172336
1191	581029	9175482
1192	581822	9179808
1193	582355	9180028
1194	582808	9178986
1195	583215	9177224
1196	583655	9175988
1197	584077	9174459
1198	584543	9173627
1199	584981	9172352
1200	585425	9171175
1201	585894	9170394
1202	586354	9169465
1203	586826	9168731
1204	587293	9167930
1205	587751	9166966
1206	588188	9165688
1207	588648	9164771
1208	589132	9164234
1209	589600	9163429
1210	590063	9162562
1211	590486	9161069
1212	590943	9160109
1213	591381	9158852
1214	591869	9158382
1215	592320	9157320
1216	592768	9156233
1217	593247	9155611
1218	593763	9155553
1219	594202	9154324
1220	594677	9153651
1221	595110	9152315
1222	595592	9151746
1223	596037	9150606
1224	596494	9149652
1225	596944	9148601
1226	597399	9147622
1227	597831	9146287
1228	598252	9144785
1229	598691	9143564
1230	599154	9142706
1231	599596	9141528
1232	600034	9140303
1233	600521	9139813
1234	600969	9138730
1235	601428	9137810
1236	603483	9161130
1237	604195	9164046
1238	604638	9162854
1239	605280	9164695
1240	605892	9166074
1241	606540	9168005
1242	606989	9166906
1243	607461	9166171
1244	607921	9165242
1245	608355	9163930
1246	608799	9162780
1247	609297	9162422
1248	609733	9161154
1249	610186	9160119
1250	610634	9159028
1251	611071	9157775
1252	611533	9156888
1253	611990	9155926
1254	612413	9154455
1255	612873	9153549
1256	613332	9152620
1257	613795	9151750
1258	614257	9150867
1259	614696	9149651
1260	615118	9148185
1261	615580	9147308
1262	616014	9146006
1263	616479	9145182
1264	616949	9144424
1265	617412	9143567
1266	617891	9142940
1267	618311	9141448
1268	618766	9140467
1269	619253	9139966
1270	619690	9138732
1271	620143	9137722
1272	620587	9136593
1273	621043	9135627
1274	621510	9134834
1275	621973	9133990
1276	622462	9133520
1277	622943	9132931
1278	623425	9132353
1279	623907	9131784
1280	624358	9130748
1281	624825	9129963
1282	625276	9128935
1283	625708	9127637
1284	626165	9126699
1285	626709	9127036
1286	627172	9126183
1287	627600	9124836
1288	628046	9123737
1289	628495	9122691
1290	628970	9122022
1291	629467	9121670
1292	629950	9121114
1293	630416	9120322
1294	630858	9119168
1295	631322	9118351
1296	631808	9117834
1297	632249	9116669
1298	632687	9115474
1299	633184	9115127
1300	633627	9113996
1301	634119	9113579
1302	634713	9114626
1303	635177	9113797
1304	635932	9117149
1305	636402	9116401
1306	636860	9115492
1307	637301	9114337
1308	637770	9113581
1309	638216	9112509
1310	638686	9111759
1311	639154	9111003
1312	639590	9109778
1313	640045	9108821
1314	640486	9107676
1315	640930	9106568
1316	641388	9105670
1317	641847	9104778
